,UNITID,Grand Total,Grand Total Men ,Grand Total Women 
1,100654,810,298,512
2,100663,5449,2028,3421
3,100690,172,63,109
4,100706,1934,992,942
5,100724,663,227,436
6,100751,8928,3685,5243
7,100760,232,93,139
8,100812,741,254,487
9,100830,870,270,600
10,100858,7149,3373,3776
11,100937,340,160,180
12,101028,383,152,231
13,101116,123,29,94
14,101143,316,179,137
15,101161,1102,415,687
16,101189,791,292,499
17,101240,980,389,591
18,101277,50,2,48
19,101286,1120,364,756
20,101295,1612,638,974
21,101301,349,145,204
22,101365,233,70,163
23,101435,254,104,150
24,101453,10,9,1
25,101462,136,53,83
26,101471,476,345,131
27,101480,1713,636,1077
28,101505,978,329,649
29,101514,1662,873,789
30,101541,58,3,55
31,101569,600,303,297
32,101587,1364,345,1019
33,101602,498,217,281
34,101648,124,97,27
35,101675,230,101,129
36,101693,341,106,235
37,101709,581,156,425
38,101736,682,332,350
39,101879,1583,625,958
40,101897,1034,434,600
41,101912,328,129,199
42,101994,100,36,64
43,102030,739,384,355
44,102049,1509,504,1005
45,102058,19,9,10
46,102067,679,276,403
47,102076,467,162,305
48,102094,3504,1118,2386
49,102234,307,125,182
50,102270,93,30,63
51,102298,101,46,55
52,102313,340,185,155
53,102368,3821,1353,2468
54,102377,545,193,352
55,102395,69,44,25
56,102429,988,482,506
57,102553,2250,912,1338
58,102580,6,2,4
59,102614,1325,554,771
60,102632,511,187,324
61,102669,117,47,70
62,102711,162,124,38
63,102845,1821,387,1434
64,103501,265,32,233
65,103741,46,8,38
66,103893,1020,143,877
67,103945,22,2,20
68,103954,37,3,34
69,103963,417,389,28
70,104090,460,72,388
71,104151,12869,7234,5635
72,104160,1358,814,544
73,104179,10522,4911,5611
74,104188,19,7,12
75,104346,987,528,459
76,104391,17,2,15
77,104425,1823,1085,738
78,104434,27,0,27
79,104443,30,1,29
80,104568,225,6,219
81,104577,1344,853,491
82,104586,474,349,125
83,104665,7,6,1
84,104708,2432,1109,1323
85,104717,23798,5790,18008
86,105145,1147,419,728
87,105154,2410,1158,1252
88,105206,516,193,323
89,105215,533,508,25
90,105297,172,39,133
91,105330,7539,2685,4854
92,105349,557,283,274
93,105367,237,65,172
94,105428,1361,451,910
95,105525,3856,1856,2000
96,105534,1347,263,1084
97,105543,467,85,382
98,105589,215,52,163
99,105659,674,640,34
100,105668,3472,1804,1668
101,105677,34,34,0
102,105747,942,395,547
103,105792,413,170,243
104,105899,139,85,54
105,106041,1070,1023,47
106,106111,43,4,39
107,106148,1264,514,750
108,106245,2376,867,1509
109,106263,891,250,641
110,106306,40,17,23
111,106315,66,1,65
112,106324,15,0,15
113,106342,124,67,57
114,106351,35,25,10
115,106360,15,0,15
116,106397,6324,2928,3396
117,106412,462,167,295
118,106449,931,398,533
119,106458,4892,1642,3250
120,106467,3017,1165,1852
121,106485,1189,479,710
122,106494,19,2,17
123,106546,417,50,367
124,106625,536,227,309
125,106704,2458,890,1568
126,106713,133,63,70
127,106795,500,230,270
128,106810,24,7,17
129,106883,350,184,166
130,106892,219,6,213
131,106908,223,14,209
132,106980,498,194,304
133,106999,463,146,317
134,107044,1208,502,706
135,107071,733,254,479
136,107080,315,146,169
137,107099,15,1,14
138,107123,37,6,31
139,107141,644,248,396
140,107220,149,7,142
141,107293,34,0,34
142,107318,395,134,261
143,107327,372,129,243
144,107442,21,18,3
145,107460,550,233,317
146,107488,150,102,48
147,107512,337,160,177
148,107521,480,143,337
149,107549,641,154,487
150,107558,147,71,76
151,107585,689,282,407
152,107600,81,30,51
153,107619,386,145,241
154,107637,267,64,203
155,107655,18,1,17
156,107664,991,352,639
157,107725,510,182,328
158,107743,251,66,185
159,107789,65,0,65
160,107831,26,3,23
161,107840,36,7,29
162,107877,77,39,38
163,107974,573,213,360
164,107983,1153,504,649
165,107992,712,526,186
166,108065,5,1,4
167,108092,1306,577,729
168,108232,2371,872,1499
169,108269,12,1,11
170,108348,37,20,17
171,108649,81,4,77
172,108667,426,182,244
173,108807,1678,673,1005
174,108852,151,63,88
175,108861,11,4,7
176,108870,123,66,57
177,108977,64,31,33
178,109040,803,162,641
179,109086,66,20,46
180,109208,3757,1820,1937
181,109350,1693,667,1026
182,109651,506,240,266
183,109721,259,102,157
184,109730,102,84,18
185,109785,3220,955,2265
186,109819,2781,1120,1661
187,109907,466,156,310
188,109934,108,39,69
189,110060,80,40,40
190,110097,1399,586,813
191,110194,15,15,0
192,110219,511,227,284
193,110246,2167,1076,1091
194,110316,369,79,290
195,110334,1291,470,821
196,110361,2735,875,1860
197,110370,483,185,298
198,110398,346,123,223
199,110404,578,374,204
200,110413,1335,545,790
201,110422,5553,2780,2773
202,110468,1422,445,977
203,110486,2548,889,1659
204,110495,2599,818,1781
205,110510,5005,1896,3109
206,110529,5185,2720,2465
207,110538,4459,1943,2516
208,110547,3933,1301,2632
209,110556,5877,2348,3529
210,110565,11606,4828,6778
211,110574,4304,1522,2782
212,110583,10436,4226,6210
213,110592,7014,2712,4302
214,110608,10682,4374,6308
215,110617,8144,3294,4850
216,110635,13082,6640,6442
217,110644,9985,4037,5948
218,110653,9907,4608,5299
219,110662,13471,6152,7319
220,110671,5525,2663,2862
221,110680,10256,5459,4797
222,110699,902,338,564
223,110705,6755,3146,3609
224,110714,4925,2431,2494
225,110778,366,183,183
226,110875,49,0,49
227,110918,1,0,1
228,111045,14,7,7
229,111054,117,37,80
230,111081,416,181,235
231,111188,272,229,43
232,111391,311,143,168
233,111434,512,159,353
234,111461,2389,1043,1346
235,111513,146,1,145
236,111638,60,29,31
237,111708,102,85,17
238,111717,198,119,79
239,111726,232,175,57
240,111744,106,99,7
241,111762,64,28,36
242,111799,125,21,104
243,111887,2721,1065,1656
244,111896,417,149,268
245,111920,1314,467,847
246,111939,2813,1170,1643
247,111948,2474,969,1505
248,111966,303,79,224
249,112075,1836,718,1118
250,112084,209,106,103
251,112127,31,13,18
252,112172,1948,756,1192
253,112181,75,2,73
254,112190,2854,1178,1676
255,112251,516,223,293
256,112260,330,172,158
257,112288,212,15,197
258,112367,345,43,302
259,112385,1685,1154,531
260,112394,115,85,30
261,112455,54,8,46
262,112525,1103,422,681
263,112561,306,143,163
264,112570,95,52,43
265,112686,612,198,414
266,112826,700,244,456
267,113096,1027,383,644
268,113111,820,400,420
269,113193,2707,1273,1434
270,113218,797,322,475
271,113236,1920,848,1072
272,113333,2248,1094,1154
273,113449,111,23,88
274,113537,18,6,12
275,113573,1195,477,718
276,113582,32,1,31
277,113634,2403,1022,1381
278,113698,463,131,332
279,113704,13,13,0
280,113856,3985,1852,2133
281,113980,2949,1334,1615
282,114044,178,8,170
283,114114,43,9,34
284,114123,194,43,151
285,114266,812,291,521
286,114354,1121,133,988
287,114390,115,12,103
288,114433,214,114,100
289,114460,262,33,229
290,114549,282,71,211
291,114585,64,15,49
292,114637,116,7,109
293,114716,1237,477,760
294,114734,10,5,5
295,114761,51,3,48
296,114789,2456,918,1538
297,114813,1334,342,992
298,114840,580,352,228
299,114859,2223,910,1313
300,114938,802,348,454
301,114947,255,130,125
302,115001,1255,461,794
303,115010,275,65,210
304,115083,850,428,422
305,115126,4024,1757,2267
306,115214,34,23,11
307,115296,1761,700,1061
308,115357,63,16,47
309,115393,1104,434,670
310,115409,211,115,96
311,115658,52,2,50
312,115728,245,69,176
313,115746,223,49,174
314,115755,2218,937,1281
315,115773,182,65,117
316,115861,1356,519,837
317,115931,450,289,161
318,116226,79,5,74
319,116350,128,12,116
320,116439,2095,924,1171
321,116563,132,4,128
322,116712,238,70,168
323,116846,45,19,26
324,117052,1480,685,795
325,117104,145,71,74
326,117140,2415,908,1507
327,117168,135,50,85
328,117195,205,86,119
329,117238,94,15,79
330,117247,737,347,390
331,117274,183,102,81
332,117520,184,105,79
333,117548,46,24,22
334,117557,123,74,49
335,117575,51,31,20
336,117627,518,208,310
337,117636,1501,512,989
338,117645,2668,1090,1578
339,117672,213,84,129
340,117690,909,368,541
341,117706,1749,678,1071
342,117715,534,136,398
343,117724,1194,641,553
344,117733,1444,549,895
345,117751,366,223,143
346,117788,1603,696,907
347,117803,110,19,91
348,117867,969,301,668
349,117894,1329,559,770
350,117946,2689,1066,1623
351,117955,247,39,208
352,118134,61,2,59
353,118143,35,3,32
354,118161,107,5,102
355,118198,371,97,274
356,118347,386,150,236
357,118541,281,139,142
358,118684,317,100,217
359,118693,165,89,76
360,118718,1735,696,1039
361,118772,800,170,630
362,118888,404,54,350
363,118912,2028,737,1291
364,118930,734,318,416
365,118958,25,8,17
366,118976,2150,712,1438
367,118994,111,75,36
368,119058,356,118,238
369,119067,764,372,392
370,119137,2261,940,1321
371,119164,4048,1880,2168
372,119173,917,96,821
373,119216,1716,619,1097
374,119270,410,298,112
375,119331,712,301,411
376,119553,792,271,521
377,119605,5430,1931,3499
378,119678,2165,1788,377
379,119775,163,115,48
380,119845,88,10,78
381,119951,81,8,73
382,120069,159,20,139
383,120078,356,60,296
384,120087,147,10,137
385,120166,44,26,18
386,120184,364,108,256
387,120254,474,195,279
388,120290,949,393,556
389,120342,2827,1376,1451
390,120403,243,82,161
391,120421,1183,580,603
392,120537,368,142,226
