UNITID,InstitutionName,State-Country,Region,SECTOR,Level,HighestDegreeOffered,UnderGradOfferings,GradOfferings,DegreeOffered,DegreeGrantingYN,HBCU,TRIBAL,DegreeOfUrban,InstCatOfProg,Degrees-Majors,MajorFields,InstSize,UNITID,"Level of Student","Grand Total","Grand Total Men","Grand Total Women",MyUnknownColumn,UNITID,"Grand Total","Grand Total Men","Grand Total Women"
100654,"Alabama A & M University",1,5,1,1,9,1,1,12,1,1,2,12,2,18,18,3,100654,1,6686,2627,4059,1,100654,810,298,512
100654,"Alabama A & M University",1,5,1,1,9,1,1,12,1,1,2,12,2,18,18,3,100654,2,5530,2290,3240,1,100654,810,298,512
100654,"Alabama A & M University",1,5,1,1,9,1,1,12,1,1,2,12,2,18,18,3,100654,4,1156,337,819,1,100654,810,298,512
100663,"University of Alabama at Birmingham",1,5,1,1,9,1,1,11,1,2,2,12,2,15,15,5,100663,1,25705,9745,15960,2,100663,5449,2028,3421
100663,"University of Alabama at Birmingham",1,5,1,1,9,1,1,11,1,2,2,12,2,15,15,5,100663,2,14808,5814,8994,2,100663,5449,2028,3421
100663,"University of Alabama at Birmingham",1,5,1,1,9,1,1,11,1,2,2,12,2,15,15,5,100663,4,10897,3931,6966,2,100663,5449,2028,3421
100690,"Amridge University",1,5,2,1,9,1,1,12,1,2,2,12,2,20,21,1,100690,1,1058,411,647,3,100690,172,63,109
100690,"Amridge University",1,5,2,1,9,1,1,12,1,2,2,12,2,20,21,1,100690,2,484,160,324,3,100690,172,63,109
100690,"Amridge University",1,5,2,1,9,1,1,12,1,2,2,12,2,20,21,1,100690,4,574,251,323,3,100690,172,63,109
100706,"University of Alabama in Huntsville",1,5,1,1,9,1,1,11,1,2,2,12,2,16,15,3,100706,1,11135,6106,5029,4,100706,1934,992,942
100706,"University of Alabama in Huntsville",1,5,1,1,9,1,1,11,1,2,2,12,2,16,15,3,100706,2,8657,4911,3746,4,100706,1934,992,942
100706,"University of Alabama in Huntsville",1,5,1,1,9,1,1,11,1,2,2,12,2,16,15,3,100706,4,2478,1195,1283,4,100706,1934,992,942
100724,"Alabama State University",1,5,1,1,9,1,1,11,1,1,2,12,2,19,18,2,100724,1,4892,1814,3078,5,100724,663,227,436
100724,"Alabama State University",1,5,1,1,9,1,1,11,1,1,2,12,2,19,18,2,100724,2,4284,1631,2653,5,100724,663,227,436
100724,"Alabama State University",1,5,1,1,9,1,1,11,1,1,2,12,2,19,18,2,100724,4,608,183,425,5,100724,663,227,436
100751,"The University of Alabama",1,5,1,1,9,1,1,11,1,2,2,12,2,15,16,5,100751,1,42432,18552,23880,6,100751,8928,3685,5243
