UNITID,Level of Student,Grand Total,Grand Total Men,Grand Total Women
100654,1,6686,2627,4059
100654,2,5530,2290,3240
100654,4,1156,337,819
100663,1,25705,9745,15960
100663,2,14808,5814,8994
100663,4,10897,3931,6966
100690,1,1058,411,647
100690,2,484,160,324
100690,4,574,251,323
100706,1,11135,6106,5029
100706,2,8657,4911,3746
100706,4,2478,1195,1283
100724,1,4892,1814,3078
100724,2,4284,1631,2653
100724,4,608,183,425
100751,1,42432,18552,23880
100751,2,36045,16056,19989
100751,4,6387,2496,3891
100760,1,2296,993,1303
100760,2,2296,993,1303
100812,1,3982,1302,2680
100812,2,3781,1225,2556
100812,4,201,77,124
100830,1,6296,2192,4104
100830,2,5525,1928,3597
100830,4,771,264,507
100858,1,32442,16578,15864
100858,2,25795,13465,12330
100858,4,6647,3113,3534
100937,1,1341,647,694
100937,2,1341,647,694
101028,1,2232,857,1375
101028,2,2232,857,1375
101116,1,656,150,506
101116,2,544,117,427
101116,4,112,33,79
101143,1,2409,1130,1279
101143,2,2409,1130,1279
101161,1,10546,4302,6244
101161,2,10546,4302,6244
101189,1,4018,1558,2460
101189,2,2978,1177,1801
101189,4,1040,381,659
101240,1,6678,2678,4000
101240,2,6678,2678,4000
101277,1,140,3,137
101277,2,140,3,137
101286,1,6283,2192,4091
101286,2,6283,2192,4091
101295,1,6975,2492,4483
101295,2,6975,2492,4483
101301,1,2448,947,1501
101301,2,2448,947,1501
101365,1,1108,240,868
101365,2,1082,236,846
101365,4,26,4,22
101435,1,1208,593,615
101435,2,1208,593,615
101453,1,109,103,6
101453,2,69,64,5
101453,4,40,39,1
101462,1,1121,528,593
101462,2,1121,528,593
101471,1,806,581,225
101471,2,806,581,225
101480,1,9766,4017,5749
101480,2,8307,3527,4780
101480,4,1459,490,969
101505,1,13617,5274,8343
101505,2,13617,5274,8343
101514,1,15020,6991,8029
101514,2,15020,6991,8029
101541,1,398,7,391
101541,2,398,7,391
101569,1,4874,1849,3025
101569,2,4874,1849,3025
101587,1,7908,2067,5841
101587,2,2767,1129,1638
101587,4,5141,938,4203
101602,1,2514,1038,1476
101602,2,2514,1038,1476
101648,1,417,312,105
101648,2,417,312,105
101675,1,1853,868,985
101675,2,1853,868,985
101693,1,2065,699,1366
101693,2,1786,634,1152
101693,4,279,65,214
101709,1,2841,892,1949
101709,2,2445,815,1630
101709,4,396,77,319
101736,1,4934,1940,2994
101736,2,4934,1940,2994
101879,1,8901,3629,5272
101879,2,7088,2899,4189
101879,4,1813,730,1083
101897,1,4007,1554,2453
101897,2,4007,1554,2453
101912,1,1772,763,1009
101912,2,1702,735,967
101912,4,70,28,42
101994,1,604,222,382
101994,2,604,222,382
102030,1,4563,1859,2704
102030,2,4563,1859,2704
102049,1,6041,2071,3970
102049,2,3618,1232,2386
102049,4,2423,839,1584
102058,1,215,118,97
102058,2,197,109,88
102058,4,18,9,9
102067,1,7044,3017,4027
102067,2,7044,3017,4027
102076,1,4118,1567,2551
102076,2,4118,1567,2551
102094,1,16889,5877,11012
102094,2,11327,4672,6655
102094,4,5562,1205,4357
102234,1,1534,641,893
102234,2,1356,527,829
102234,4,178,114,64
102270,1,947,415,532
102270,2,947,415,532
102298,1,1331,680,651
102298,2,1321,679,642
102298,4,10,1,9
102313,1,2618,1156,1462
102313,2,2618,1156,1462
102368,1,21039,7915,13124
102368,2,16107,6229,9878
102368,4,4932,1686,3246
102377,1,3345,1227,2118
102377,2,2797,1043,1754
102377,4,548,184,364
102395,1,583,437,146
102395,2,306,241,65
102395,4,277,196,81
102429,1,5637,2225,3412
102429,2,5637,2225,3412
102553,1,23371,9190,14181
102553,2,22300,8838,13462
102553,4,1071,352,719
102580,1,54,31,23
102580,2,54,31,23
102614,1,12297,4717,7580
102614,2,11045,4222,6823
102614,4,1252,495,757
102632,1,4066,1427,2639
102632,2,3654,1316,2338
102632,4,412,111,301
102669,1,597,204,393
102669,2,368,116,252
102669,4,229,88,141
102711,1,190,144,46
102711,2,190,144,46
102845,1,4383,1086,3297
102845,2,4383,1086,3297
103501,1,605,84,521
103501,2,605,84,521
103741,1,154,17,137
103741,2,154,17,137
103893,1,2582,401,2181
103893,2,2582,401,2181
103945,1,81,11,70
103945,2,81,11,70
103954,1,84,5,79
103954,2,84,5,79
103963,1,1135,1030,105
103963,2,1135,1030,105
104090,1,2212,323,1889
104090,2,2189,320,1869
104090,4,23,3,20
104151,1,56567,31811,24756
104151,2,46314,25944,20370
104151,4,10253,5867,4386
104160,1,11521,5221,6300
104160,2,11521,5221,6300
104179,1,48653,23138,25515
104179,2,37332,17833,19499
104179,4,11321,5305,6016
104188,1,127,61,66
104188,2,125,59,66
104188,4,2,2,0
104346,1,8518,3681,4837
104346,2,8518,3681,4837
104391,1,71,5,66
104391,2,71,5,66
104425,1,9842,6147,3695
104425,2,9842,6147,3695
104434,1,57,2,55
104434,2,57,2,55
104443,1,101,10,91
104443,2,101,10,91
104568,1,536,16,520
104568,2,536,16,520
104577,1,8529,4040,4489
104577,2,8529,4040,4489
104586,1,2928,2197,731
104586,2,2858,2154,704
104586,4,70,43,27
104665,1,24,12,12
104665,4,24,12,12
104708,1,26054,11857,14197
104708,2,26054,11857,14197
104717,1,145131,38887,106244
104717,2,83642,24076,59566
104717,4,61489,14811,46678
105145,1,7685,3251,4434
105145,2,7685,3251,4434
105154,1,29837,13975,15862
105154,2,29837,13975,15862
105206,1,5539,1876,3663
105206,2,5539,1876,3663
105215,1,1374,1301,73
105215,2,1374,1301,73
105297,1,1996,662,1334
105297,2,1996,662,1334
105330,1,34934,13166,21768
105330,2,29814,11651,18163
105330,4,5120,1515,3605
105349,1,5841,2218,3623
105349,2,5841,2218,3623
